Timestamp,Scenario,Temp,Hum,AccX_RMS,AccY_RMS,AccZ_RMS
2026-04-01 21:56:14,D0,25.75,50.0,2627.887676442812,2407.938180269585,2013.0038226491276
2026-04-01 21:56:15,D0,25.75,50.0,2629.140047620134,2407.6579242076727,2011.713098331867
2026-04-01 21:56:16,D0,25.75,50.0,2629.287838940423,2408.573204202023,2010.3523173812096
2026-04-01 21:56:17,D0,25.75,50.0,2631.78635341093,2407.2804074307587,2008.6524338471302
2026-04-01 21:56:18,D0,25.75,50.0,2633.8256832979664,2406.474572897042,2006.9759839121145
2026-04-01 21:56:19,D0,25.75,50.0,2634.0725084932646,2407.330311776928,2005.6359465266871
2026-04-01 21:56:20,D0,25.75,50.0,2635.5278427669855,2406.8893451922545,2004.227656729644
2026-04-01 21:56:21,D0,25.75,50.0,2636.56368404027,2406.7880504938526,2002.9971118301694
2026-04-01 21:56:22,D0,25.75,50.0,2636.7407039752698,2407.6447246219695,2001.6517129610736
2026-04-01 21:56:23,D0,25.75,50.0,2637.8455129139006,2407.573157766966,2000.311030814958
2026-04-01 21:56:24,D0,25.75,50.0,2640.3511035466477,2406.380427114549,1998.5749848329435
2026-04-01 21:56:25,D0,25.75,50.0,2641.0239737647216,2406.82598456972,1997.1022732949857
2026-04-01 21:56:26,D0,25.75,50.0,2642.738191724636,2406.294015701323,1995.443795249568
2026-04-01 21:56:27,D0,25.75,50.0,2645.0330716268936,2405.220572005819,1993.6948863855773
2026-04-01 21:56:28,D0,25.75,50.0,2645.705265141981,2405.696832520673,1992.1610125690142
2026-04-01 21:56:29,D0,25.76,50.0,2647.060830430612,2405.535077690616,1990.5341619776336
2026-04-01 21:56:30,D0,25.76,50.0,2649.5986356427647,2404.317069356702,1988.7455971038628
2026-04-01 21:56:31,D0,25.76,50.0,2650.140256665673,2404.958299014767,1987.2263509726313
2026-04-01 21:56:32,D0,25.77,50.0,2651.9532971000826,2404.4000873398754,1985.5248525264044
2026-04-01 21:56:33,D0,25.77,50.0,2654.2461020033543,2403.97121031014,1983.5723077316843
2026-04-01 21:56:34,D0,25.77,50.0,2655.476358395985,2402.2539561836506,1983.9809298478654
2026-04-01 21:56:35,D0,25.77,50.0,2656.7850609336087,2400.3977587058357,1984.622961673073
2026-04-01 21:56:36,D0,25.77,50.0,2659.2577648659785,2397.4777162676614,1985.0441556801702
2026-04-01 21:56:37,D0,25.77,50.0,2660.9242548407874,2395.5129367214863,1985.3794347680748
2026-04-01 21:56:38,D0,25.77,50.0,2661.9173334271673,2394.108901031864,1985.8507119116482
2026-04-01 21:56:39,D0,25.77,50.0,2664.372136170171,2391.190318648852,1986.2187694209317
2026-04-01 21:56:40,D0,25.77,50.0,2666.1666733345837,2389.008518193269,1986.6284176966765
2026-04-01 21:56:41,D0,25.77,50.0,2667.115282472807,2387.5116774583535,1987.0467709643879
2026-04-01 21:56:42,D0,25.77,50.0,2669.317322837433,2384.9730250046855,1987.3195691684816
2026-04-01 21:56:43,D0,25.77,50.0,2671.3567002555087,2382.5840027163786,1987.6552694066445
2026-04-01 21:56:44,D0,25.77,50.0,2672.45448417742,2380.9426305562256,1988.1577477655037
2026-04-01 21:56:45,D0,25.76,50.0,2673.2937006621623,2379.771787377941,1988.4936283528796
2026-04-01 21:56:46,D0,25.76,50.0,2674.3224955117134,2378.587513630726,1988.3493631653366
2026-04-01 21:56:47,D0,25.76,50.0,2675.0676739103255,2377.3397906062987,1988.6405582709008
2026-04-01 21:56:48,D0,25.76,50.0,2676.9236559902115,2375.865417063854,1987.9956086470613
2026-04-01 21:56:49,D0,25.76,50.0,2678.404661360938,2374.9006779231845,1987.3831387027515
2026-04-01 21:56:50,D0,25.76,50.0,2679.6344228271137,2373.9369473513825,1986.9327668544802
2026-04-01 21:56:51,D0,25.76,50.0,2681.4166162683487,2372.5164340842825,1986.2982907911892
2026-04-01 21:56:52,D0,25.76,50.0,2682.778557764319,2371.3403783514505,1985.9794938518373
2026-04-01 21:56:53,D0,25.76,50.0,2683.925192698187,2370.2487759726823,1985.7840768824792
2026-04-01 21:56:54,D0,25.75,50.0,2685.549493120542,2368.959919458326,1985.3421795750978
2026-04-01 21:56:55,D0,25.75,50.0,2686.939681124234,2367.658664165931,1985.105312067851
2026-04-01 21:56:56,D0,25.75,50.0,2687.531715161702,2366.935324422702,1984.88944024598
2026-04-01 21:56:57,D0,25.75,50.0,2688.5585431602562,2366.469336374338,1984.5929003198617
2026-04-01 21:56:58,D0,25.75,50.0,2688.9989066565277,2366.0465612493767,1984.5521257956416
2026-04-01 21:56:59,D0,25.75,50.0,2689.4616041133586,2365.4589258746387,1984.7149770181109
2026-04-01 21:57:00,D0,25.75,50.0,2690.2056557073847,2364.509120303832,1984.8365625411077
2026-04-01 21:57:01,D0,25.76,49.0,2690.605446734991,2364.143005403861,1984.8568462234248
2026-04-01 21:57:02,D0,25.76,49.0,2691.1677595423143,2363.533454385615,1984.887354486395
2026-04-01 21:57:03,D0,25.76,49.0,2692.073999725862,2362.3616954226127,1985.1491858296192
2026-04-01 21:57:04,D0,25.75,50.0,2692.413590071184,2361.944211872922,1985.1693655706054
2026-04-01 21:57:05,D0,25.75,50.0,2692.8763840919246,2361.3851125981123,1985.2301151251963
2026-04-01 21:57:06,D0,25.75,50.0,2693.635465314488,2360.3308857022566,1985.421471627624
2026-04-01 21:57:07,D0,25.76,50.0,2693.915072900406,2359.9824660365593,1985.4013347431799
2026-04-01 21:57:08,D0,25.76,50.0,2694.3372357594735,2359.440440019625,1985.4316382086793
2026-04-01 21:57:09,D0,25.76,50.0,2694.9653300181803,2358.080776818301,1985.9204188486506
2026-04-01 21:57:10,D0,25.76,50.0,2694.886485549994,2358.468144792293,1985.580889815371
2026-04-01 21:57:11,D0,25.76,50.0,2694.8268163279063,2358.709000703563,1985.41003321732
2026-04-01 21:57:12,D0,25.76,50.0,2695.0162225856825,2358.648967099598,1985.2395900747094
2026-04-01 21:57:13,D0,25.76,50.0,2694.70297435543,2358.955860121168,1985.2195420154417
2026-04-01 21:57:14,D0,25.76,50.0,2694.4047060528974,2359.2169527196943,1985.0887990213434
2026-04-01 21:57:15,D0,25.76,50.0,2694.9969795901443,2358.935656180558,1984.6225081863806
2026-04-01 21:57:16,D0,25.75,49.0,2694.6251316277744,2358.935656180558,1984.9115924897008
2026-04-01 21:57:17,D0,25.75,49.0,2694.338035584993,2359.2789555285744,1984.9215954288975
2026-04-01 21:57:18,D0,25.75,49.0,2694.7168329900637,2358.7543301497085,1985.0009521408294
2026-04-01 21:57:19,D0,25.75,50.0,2694.547282940123,2358.844547654635,1985.0907460365634
2026-04-01 21:57:20,D0,25.75,50.0,2694.1694490139257,2359.2361115411913,1985.1710228592397
2026-04-01 21:57:21,D0,25.75,50.0,2694.3482959706603,2358.720593881352,1985.6274549874656
2026-04-01 21:57:22,D0,25.75,49.0,2694.189024548946,2358.650124541578,1985.9364743113008
2026-04-01 21:57:23,D0,25.75,49.0,2693.5155503542205,2359.3376210284105,1985.9865382222508
2026-04-01 21:57:24,D0,25.75,49.0,2693.435891199195,2359.2368702612293,1986.1959470304032
2026-04-01 21:57:25,D0,25.75,49.0,2693.5154612513365,2358.8934206529975,1986.5042537080055
2026-04-01 21:57:26,D0,25.74,49.0,2692.9715353118754,2358.8112111824466,1987.04614943891
2026-04-01 21:57:27,D0,25.74,49.0,2693.626659357232,2358.238276765094,1986.8248136159364
2026-04-01 21:57:28,D0,25.74,49.0,2694.369560769272,2357.866637450049,1986.3206790445495
2026-04-01 21:57:29,D0,25.73,49.0,2694.2121315887507,2358.4432471441833,1985.7747102831177
2026-04-01 21:57:30,D0,25.73,49.0,2694.5879852029325,2358.4029659920293,1985.361213986009
2026-04-01 21:57:31,D0,25.73,49.0,2695.445228529046,2357.734868470159,1984.957820710556
2026-04-01 21:57:32,D0,25.72,49.0,2695.2982821943847,2358.396565465613,1984.4824262260424
