Scenario,Temp_Mean,Hum_Mean,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz,AccY_Mean,AccY_Std,AccY_Max,AccY_Min,AccY_RMS,AccY_Skew,AccY_Kurt,AccY_PeakFreq_Hz,AccZ_Mean,AccZ_Std,AccZ_Max,AccZ_Min,AccZ_RMS,AccZ_Skew,AccZ_Kurt,AccZ_PeakFreq_Hz
D1,36.54,32.99,3609.9,2.05,3614.0,3606.0,3609.9,0.03,-0.343,0.9,1478.0,1.55,1481.0,1476.0,1478.0,0.403,-0.812,0.6,1230.2,3.68,1239.0,1223.0,1230.21,0.46,-0.117,1.0
D1,36.54,32.94,3609.15,2.22,3614.0,3606.0,3609.15,0.469,-0.627,1.0,1477.95,2.04,1483.0,1474.0,1477.95,0.494,0.146,0.1,1230.05,3.9,1237.0,1223.0,1230.06,0.124,-0.996,0.5
D1,36.53,32.98,3608.6,1.5,3612.0,3606.0,3608.6,0.433,-0.46,0.6,1477.25,2.02,1483.0,1474.0,1477.25,0.964,1.204,0.4,1229.4,4.0,1237.0,1224.0,1229.41,0.612,-1.017,0.7
D1,36.53,32.95,3609.55,1.53,3612.0,3607.0,3609.55,0.031,-0.958,0.6,1476.9,1.87,1480.0,1473.0,1476.9,-0.269,-0.669,0.6,1229.15,4.0,1236.0,1220.0,1229.16,-0.026,-0.377,0.7
D1,36.54,32.86,3610.4,1.62,3614.0,3608.0,3610.4,0.039,-0.594,1.0,1477.3,2.39,1482.0,1473.0,1477.3,-0.181,-0.655,1.0,1231.35,4.29,1240.0,1220.0,1231.36,-0.483,0.639,0.2
D1,36.54,32.88,3610.4,1.74,3614.0,3608.0,3610.4,0.62,-0.295,0.9,1476.7,2.47,1482.0,1472.0,1476.7,0.147,-0.472,0.3,1231.75,4.47,1240.0,1224.0,1231.76,0.071,-0.745,0.7
D1,36.54,32.92,3609.85,1.88,3614.0,3607.0,3609.85,0.897,0.378,1.0,1476.2,1.96,1479.0,1472.0,1476.2,-0.438,-0.77,0.3,1229.95,4.28,1240.0,1224.0,1229.96,0.527,-0.353,0.7
D1,36.54,32.86,3610.05,2.22,3615.0,3607.0,3610.05,0.755,-0.27,0.3,1476.9,1.84,1480.0,1473.0,1476.9,-0.43,-0.622,0.8,1230.8,3.84,1237.0,1224.0,1230.81,-0.318,-0.781,0.4
D1,36.54,32.95,3611.0,2.0,3615.0,3608.0,3611.0,0.525,-0.425,0.2,1476.9,1.64,1480.0,1474.0,1476.9,0.228,-0.355,0.9,1230.45,3.88,1237.0,1223.0,1230.46,-0.337,-1.005,0.2
D1,36.54,32.98,3610.6,2.18,3615.0,3607.0,3610.6,0.431,-0.452,0.3,1477.15,1.65,1481.0,1474.0,1477.15,0.493,-0.036,0.9,1230.4,3.65,1238.0,1223.0,1230.41,0.196,-0.459,0.2
D1,36.55,32.88,3610.1,1.81,3615.0,3607.0,3610.1,0.756,0.778,0.6,1478.0,1.67,1481.0,1475.0,1478.0,-0.128,-1.112,0.8,1232.2,3.36,1239.0,1227.0,1232.2,0.398,-0.879,0.8
D1,36.55,32.96,3609.95,1.94,3614.0,3605.0,3609.95,-0.591,0.791,0.4,1477.6,1.91,1480.0,1473.0,1477.6,-0.672,-0.056,0.2,1231.55,3.47,1239.0,1224.0,1231.55,0.115,-0.051,0.6
D1,36.54,33.08,3610.1,2.17,3614.0,3605.0,3610.1,-0.336,0.127,0.4,1476.95,1.77,1481.0,1473.0,1476.95,0.129,0.538,0.7,1230.8,3.53,1237.0,1224.0,1230.81,0.159,-0.464,0.9
D1,36.55,32.88,3610.4,1.74,3614.0,3607.0,3610.4,-0.285,-0.243,0.9,1477.2,1.81,1481.0,1474.0,1477.2,0.261,-0.338,0.4,1231.1,3.28,1237.0,1226.0,1231.1,0.292,-0.913,0.8
D1,36.54,32.88,3610.1,2.05,3614.0,3606.0,3610.1,-0.31,-0.698,1.0,1477.25,1.81,1481.0,1474.0,1477.25,0.129,-0.322,0.6,1232.05,2.89,1238.0,1228.0,1232.05,0.361,-0.815,0.7
D1,36.54,33.1,3609.95,2.29,3615.0,3606.0,3609.95,0.411,-0.336,0.9,1477.15,1.8,1481.0,1474.0,1477.15,0.085,-0.339,0.8,1231.7,3.35,1238.0,1226.0,1231.7,0.158,-0.815,0.7
D1,36.55,32.96,3610.1,1.84,3615.0,3607.0,3610.1,0.622,0.798,0.8,1477.0,1.9,1480.0,1474.0,1477.0,-0.483,-1.102,0.9,1230.9,4.53,1239.0,1224.0,1230.91,0.431,-1.057,0.9
D1,36.54,33.05,3609.65,1.42,3612.0,3606.0,3609.65,-0.616,0.054,0.5,1477.0,1.9,1482.0,1474.0,1477.0,0.483,0.38,0.5,1231.2,4.78,1239.0,1224.0,1231.21,0.159,-1.274,1.0
D1,36.52,33.17,3609.7,1.49,3613.0,3606.0,3609.7,-0.3,0.546,0.4,1477.1,1.81,1482.0,1475.0,1477.1,0.756,0.335,0.7,1230.2,3.76,1237.0,1221.0,1230.21,-0.426,0.173,0.3
D1,36.51,32.98,3610.2,1.36,3613.0,3607.0,3610.2,-0.246,0.165,0.3,1476.75,1.97,1480.0,1474.0,1476.75,0.076,-1.487,1.0,1230.6,3.51,1237.0,1221.0,1230.61,-0.58,1.011,0.6
D1,36.53,32.98,3610.7,2.0,3614.0,3607.0,3610.7,-0.108,-0.93,0.3,1476.95,2.09,1481.0,1474.0,1476.95,0.298,-0.999,0.1,1230.55,3.31,1237.0,1226.0,1230.55,0.365,-1.027,0.7
D1,36.54,33.13,3611.1,1.7,3614.0,3608.0,3611.1,-0.034,-0.654,0.4,1477.35,2.17,1482.0,1474.0,1477.35,0.481,-0.725,0.5,1229.85,2.48,1234.0,1226.0,1229.85,0.133,-1.42,0.8
D1,36.55,33.25,3610.6,1.71,3613.0,3606.0,3610.6,-0.736,0.577,0.7,1476.5,2.18,1482.0,1473.0,1476.5,0.739,0.107,0.2,1231.25,3.05,1237.0,1226.0,1231.25,0.25,-0.844,0.4
D1,36.55,33.08,3610.1,2.23,3613.0,3605.0,3610.1,-0.61,-0.437,0.8,1476.2,1.89,1480.0,1473.0,1476.2,0.381,-0.72,0.2,1230.45,4.17,1237.0,1219.0,1230.46,-0.589,0.738,0.1
D1,36.54,32.86,3610.4,2.24,3614.0,3605.0,3610.4,-0.478,-0.402,0.4,1476.6,1.69,1480.0,1474.0,1476.6,0.328,-0.798,0.6,1229.45,4.24,1237.0,1219.0,1229.46,-0.586,0.518,0.2
D1,36.55,32.92,3610.55,2.11,3614.0,3606.0,3610.55,-0.198,-0.873,1.0,1477.2,1.69,1481.0,1475.0,1477.2,0.367,-0.776,0.7,1230.95,4.43,1240.0,1221.0,1230.96,-0.036,-0.284,0.2
D1,36.56,32.96,3610.25,2.09,3614.0,3606.0,3610.25,-0.333,-0.327,1.0,1477.7,1.68,1481.0,1474.0,1477.7,-0.54,-0.173,0.6,1230.55,4.14,1240.0,1225.0,1230.56,0.6,-0.588,0.1
D1,36.55,33.06,3610.1,1.7,3614.0,3606.0,3610.1,-0.095,0.582,0.6,1477.25,1.81,1480.0,1473.0,1477.25,-0.878,0.011,0.7,1230.25,3.62,1237.0,1225.0,1230.26,0.362,-0.968,1.0
